City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
128,sao vicente,-23.9631,-46.3919,23.48,26,100,1.1,BR,1682498232
129,necochea,-38.5473,-58.7368,15.71,71,100,3.36,AR,1682498504
130,ilulissat,69.2167,-51.1,0.01,100,100,3.09,GL,1682498505
131,nova vicosa,-17.8919,-39.3719,23.02,89,17,0.94,BR,1682498506
132,arraial do cabo,-22.9661,-42.0278,22.9,90,21,5.89,BR,1682498507
133,arteche,12.2645,125.4048,27.59,78,60,2.47,PH,1682498508
134,hithadhoo,-0.6,73.0833,29.27,74,81,6.02,MV,1682498509
135,warora,20.2333,79.0,37.06,26,98,1.86,IN,1682498510
136,prainha,-1.8,-53.48,22.28,98,91,0.83,BR,1682498510
137,queenstown,-31.8976,26.8753,24.71,28,2,3.34,ZA,1682498406
138,nagqu,31.5,92.0,5.06,24,74,6.25,CN,1682498512
139,general villegas,-35.0328,-63.0125,12.99,82,86,2.0,AR,1682498513
140,whitehorse,60.7161,-135.0538,-0.57,59,75,2.57,CA,1682498514
141,newport,51.5877,-2.9984,10.25,77,83,3.47,GB,1682498478
142,saint-flour,45.0833,3.0,10.01,70,89,0.96,FR,1682498515
143,panaba,21.2833,-88.2667,22.32,96,12,2.67,MX,1682498516
144,ad dabbah,18.05,30.95,40.27,12,14,6.2,SD,1682498517
145,tokmok,42.8417,75.3016,19.75,32,1,2.68,KG,1682498518
146,uturoa,-16.7333,-151.4333,27.5,76,98,2.23,PF,1682498519
147,port lincoln,-34.7333,135.8667,16.59,83,100,11.55,AU,1682498520
148,mandalgovi,45.7625,106.2708,8.94,15,2,9.58,MN,1682498521
149,saint-philippe,-21.3585,55.7679,27.84,86,83,3.89,RE,1682498523
150,gua musang,4.8823,101.9644,30.64,62,95,1.46,MY,1682498523
151,vila franca do campo,37.7167,-25.4333,17.23,90,18,4.89,PT,1682498525
152,shimoda,34.6667,138.95,19.2,89,99,7.75,JP,1682498525
153,hauterive,46.0901,3.4459,14.42,61,94,1.91,FR,1682498526
154,gidole,5.65,37.3667,20.26,57,40,1.3,ET,1682498527
155,portland,45.5234,-122.6762,12.27,79,0,1.34,US,1682498528
156,sergeyevka,53.88,67.4158,23.65,23,90,6.39,KZ,1682498529
157,hawaiian paradise park,19.5933,-154.9731,21.73,83,0,1.54,US,1682498530
158,kupang,-10.1667,123.5833,28.32,89,100,6.17,ID,1682498448
159,cannonvale,-20.2833,148.7,23.66,76,39,9.45,AU,1682498532
160,salinopolis,-0.6136,-47.3561,25.23,88,59,3.31,BR,1682498533
161,irymple,-34.25,142.1667,22.27,45,95,5.41,AU,1682498533
162,howard springs,-12.497,131.047,31.57,87,76,3.74,AU,1682498535
163,tabou,4.423,-7.3528,25.45,89,100,4.63,CI,1682498535
164,harper,4.375,-7.7169,25.17,90,100,4.93,LR,1682498536
165,outjo,-20.1167,16.15,29.29,33,4,3.65,NA,1682498537
166,cole harbour,44.6724,-63.4751,3.71,88,9,2.06,CA,1682498538
167,olhao,37.0286,-7.8411,26.27,57,0,2.06,PT,1682498509
168,skovorodino,53.9833,123.9167,5.64,32,82,1.84,RU,1682498540
169,yuzhno-kurilsk,44.0306,145.8556,5.51,97,100,11.46,RU,1682498541
170,kodiak,57.79,-152.4072,2.73,87,100,1.54,US,1682498542
